lat,lon,alt,date,device,os,version
40.4169464111,-3.70262432098,661.36706543,2012-04-12 18:52:48,"iPhone3,1",5.1,1.0
40.4216003418,-3.70764160156,679.770324707,2012-04-12 19:09:52,"iPhone3,1",5.1,1.0
40.4270744324,-3.7135784626,681.237487793,2012-04-12 20:22:24,"iPhone3,1",5.1,1.0
40.4318466187,-3.71294331551,681.112548828,2012-04-12 20:39:28,"iPhone3,1",5.1,1.0
40.4380722046,-3.69129037857,688.833251953,2012-04-13 07:57:52,"iPhone3,1",5.1,1.1
40.4535293579,-3.69068431854,711.23840332,2012-04-13 08:04:16,"iPhone3,1",5.1,1.1
40.4301490784,-3.7103664875,660.52734375,2012-04-14 01:50:56,"iPhone3,1",5.1,1.1
40.444278717,-3.69342780113,660.52734375,2012-04-14 08:00:00,"iPhone3,1",5.1,1.1
40.4527435303,-3.6910097599,706.560546875,2012-04-14 08:04:16,"iPhone3,1",5.1,1.1
40.4397735596,-3.69107913971,645.679260254,2012-04-14 18:31:28,"iPhone3,1",5.1,1.1
40.4386482239,-3.69953393936,688.901245117,2012-04-14 18:37:52,"iPhone3,1",5.1,1.1
40.4301452637,-3.71004366875,660.235168457,2012-04-15 01:33:52,"iPhone3,1",5.1,1.1
40.4392623901,-3.70089888573,670.240600586,2012-04-15 21:39:12,"iPhone3,1",5.1,1.1
40.430141449,-3.71272945404,684.875305176,2012-04-16 11:50:24,"iPhone3,1",5.1,1.1
40.4216041565,-3.70730233192,672.824645996,2012-04-17 14:19:44,"iPhone3,1",5.1,1.1
40.4271011353,-3.71358728409,670.331115723,2012-04-17 20:39:28,"iPhone3,1",5.1,1.1
40.4316902161,-3.71339011192,687.994506836,2012-04-17 20:45:52,"iPhone3,1",5.1,1.1
40.4318962097,-3.71272563934,678.997802734,2012-04-18 19:31:12,"iPhone3,1",5.1,1.1
40.4205780029,-3.70643019676,677.666687012,2012-04-20 13:52:00,"iPhone3,1",5.1,1.1
40.427066803,-3.71359038353,680.145507812,2012-04-20 16:53:20,"iPhone3,1",5.1,1.1
40.4315948486,-3.71340179443,687.183166504,2012-04-20 16:59:44,"iPhone3,1",5.1,1.1
40.4298210144,-3.70792269707,682.116638184,2012-04-20 17:53:04,"iPhone3,1",5.1,1.1
40.4248924255,-3.70204520226,673.634765625,2012-04-20 18:05:52,"iPhone3,1",5.1,1.1
40.4216918945,-3.69730782509,686.33770752,2012-04-20 18:18:40,"iPhone3,1",5.1,1.1
40.4255485535,-3.70090126991,682.68951416,2012-04-20 20:16:00,"iPhone3,1",5.1,1.1
40.4299507141,-3.70282387733,695.710327148,2012-04-20 20:24:32,"iPhone3,1",5.1,1.1
40.4317398071,-3.71089720726,682.091552734,2012-04-20 20:35:12,"iPhone3,1",5.1,1.1
40.429233551,-3.70599913597,682.179199219,2012-04-21 09:16:48,"iPhone3,1",5.1,1.1
40.4300537109,-3.70562076569,690.985046387,2012-04-21 12:52:16,"iPhone3,1",5.1,1.1
40.4304161072,-3.71185207367,679.923095703,2012-04-21 12:58:40,"iPhone3,1",5.1,1.1
40.4276428223,-3.7193672657,672.21673584,2012-04-21 16:17:04,"iPhone3,1",5.1,1.1
40.4276504517,-3.719373703,668.667114258,2012-04-21 19:52:32,"iPhone3,1",5.1,1.1
40.4304656982,-3.7144215107,681.173583984,2012-04-21 22:51:44,"iPhone3,1",5.1,1.1
40.42760849,-3.70629167557,699.864807129,2012-04-21 22:58:08,"iPhone3,1",5.1,1.1
40.4296073914,-3.69799494743,686.473632812,2012-04-22 00:46:56,"iPhone3,1",5.1,1.1
40.4305458069,-3.71181321144,690.063049316,2012-04-22 03:03:28,"iPhone3,1",5.1,1.1
40.4236793518,-3.71165752411,662.727050781,2012-04-22 17:01:52,"iPhone3,1",5.1,1.1
40.4192657471,-3.70527625084,676.166687012,2012-04-22 17:08:16,"iPhone3,1",5.1,1.1
40.4031562805,-3.69418621063,663.94329834,2012-04-22 17:23:12,"iPhone3,1",5.1,1.1
40.4180183411,-3.70604920387,581.502441406,2012-04-22 17:38:08,"iPhone3,1",5.1,1.1
40.3941574097,-3.67760825157,704.52532959,2012-04-22 17:42:24,"iPhone3,1",5.1,1.1
40.4145202637,-3.69706964493,603.014648438,2012-04-22 18:10:08,"iPhone3,1",5.1,1.1
40.4288482666,-3.70101881027,686.190917969,2012-04-22 18:16:32,"iPhone3,1",5.1,1.1
40.4417419434,-3.70117998123,699.599975586,2012-04-22 18:20:48,"iPhone3,1",5.1,1.1
40.4295501709,-3.70216321945,689.695617676,2012-04-23 14:32:32,"iPhone3,1",5.1,1.1
40.4303016663,-3.71431994438,688.75,2012-04-23 14:41:04,"iPhone3,1",5.1,1.1
40.422454834,-3.70846676826,684.895690918,2012-04-24 12:56:32,"iPhone3,1",5.1,1.1
40.4304618835,-3.71589756012,681.799987793,2012-04-24 17:38:08,"iPhone3,1",5.1,1.1
40.4297790527,-3.70565485954,695.200012207,2012-04-25 12:58:40,"iPhone3,1",5.1,1.1
40.4419059753,-3.6993906498,686.400085449,2012-04-25 13:11:28,"iPhone3,1",5.1,1.1
